name,line
Neku,Outta my face. You're blocking my view.
Neku,Shut up!!! Stop talking. Just go the hell away!
Neku,"All the world needs is me. I got my values... so you can keep yours, "
Neku,I don't get people. Never have. Never will.
Neku,?
Neku,!? What the... I can hear voices in my head! (What just happened?)
Neku,(And where'd this pin come from?) Hmm... (Wonder if there's a
Neku,(This pin... Why do I have it?)
Neku,(Voices! Definitely voices! But why?) ! (Am I hearing people's 
Neku,"! Huh? Whose phone? Mine? ""Reach 104. You have 60 minutes. Fail, and "
Neku,Huh? Still there... It's like junk mail from hell.
Neku,Oww! My hand... Huh?
Neku,!? What?
Neku,! F...frogs!?
Neku,Oww! What the... They attacked me! What do they want with me? D-down
Neku,...Ungh! What the hell is going on!? Somebody! Help!
Neku,Hey... Everybody stop ignoring me! What is this place...
Neku,Crap! I gotta run!
Kariya,"Man, here we go again..."
Uzuki,"Stop whining. We haven't had work in, like, forever."
Kariya,Exactly. It feels like the Monday after vacation.
Uzuki,You'd prefer a permanent vacation? Day 1 has the most Players. Now's 
Kariya,"Aight, aight... One week won't kill me. Probably. Hey, while we're at"
Uzuki,A gaaame?
Kariya,"Yeah, so it doesn't feel so much like work. C'mon, you love it."
Uzuki,"Oh, yeah. You know me. Sigh... All right. What's the game?"
Kariya,"How 'bout Reaper Sport 3, a Player hunt? Let's see who bags the most"
Uzuki,Are you joking? That's no fun at all!
Kariya,You don't like it?
Uzuki,But I'm gonna crush you! There's no contest.
Kariya,"Ohh, zing! Now I have to actually try. You know the drill. Loser buys"
Neku,"Huff, huff... Should be...safe...here..."
Neku,Rrgh... Freakin' frogs! Just leave me alone! I didn't do anything to 
Neku,!? They vanished! Why are people disappearing!? What's happening... Why
Neku,They're gonna get me...
Neku,Huh?
Shiki,You! Forge a pact with me!
Neku,Uhh... I've kinda got my hands full...
Shiki,"Listen! If we forge a pact, we can beat the Noise!"
Neku,Who cares about a little noise?
Shiki,You wanna be erased? Hurry up! There's no time! Make a pact with me!
Neku,A-all right! I accept.
Neku,What's with the lights show?
Shiki,Here!
Shiki,Use this pin!
Neku,But...the funny lights...
Shiki,I'll explain later! Right now we have to stop the Noise!
Neku,Uhh...OK?
Shiki,Get ready!
Neku,That fire... I did that!?
Shiki,Whoa! You can use the pin? You must be really good at psychs. Guess I
Neku,That's what you call those flames? A psych?
Shiki,"Yup. And now that we've made a pact, the Noise won't come after us!"
Neku,"In other words, we're safe."
Shiki,Right. See? All gone.
Neku,All gone. So...What are Noise?
Shiki,They're the monsters we just fought. Duh.
Neku,"(Monsters? Uh, sure... And ""psychs""?)"
Neku,(Is that what this pin is for?)
Shiki,"Anyway, where are my manners? My name's Shiki Misaki. Call me Shiki."
Neku,(I call this wack.)
Shiki,We've got a long week ahead of us!
Neku,A week? Week of what?
Shiki,"The Reapers' Game is seven days long, right?"
Neku,(Reapers? Excuse me? Who is this flake?)
Shiki,So what's your name?
Neku,(Forget her... Where am I? How did I get here?)
Shiki,"C'mon, tell me your name."
Neku,"(The sign says ""Shibuya Station""... Why am I in Shibuya?)"
Shiki,Something wrong?
Neku,(Wait... The intersection. I just need to retrace my steps.)
Shiki,"! Hey, whoa... Wait for me!!!"
Neku,Why are you following me!?
Shiki,Why are you making yourself so hard to follow?
Neku,Screw you. I go where I want.
Shiki,Go where? We're trapped in here!
Neku,What? Don't be stupid.
Shiki,You're the one being stupid. We made a pact. We're supposed to stick
Neku,Survive what?
Shiki,The Game! Don't you wanna win?
Neku,Pfft. Play games on your own time.
Shiki,Hey! That's not funny! They'll erase us if we don't win! You saw what
Neku,No way! Don't make me a part of this.
Shiki,"You're already a part of this. You're a Player, just like me."
Neku,A what? I'm not playing anything.
Shiki,Oh yeah? Then why do you have a Player Pin?
Shiki,Don't you have a timer on your hand? I do...
Neku,What. The. Hell.
Shiki,"See, you're part of the Reapers' Game, too."
Neku,......
Shiki,! We don't have time for this! The clock's ticking! We've only got 20
Neku,"""Ten-Four""? What's that?"
Shiki,"Ten-Four! 104? You got the mail, right? ""Reach 104 or face erasure."""
Neku,(That junk mail...Please. What kind of nut would believe that? Then
Shiki,"Good. Now, for the last time... Tell me your name."
Neku,...... Neku. Neku Sakuraba.
Shiki,"Neku, huh? Cute name."
Neku,(Shut up.)
Shiki,"All right, Neku. Let's go over to 104!"
Shiki,"Hey, Neku!"
Neku,......
Shiki,We have to get over to 104. There's no time!
Neku,......
Shiki,Hey- wait up!!! Neku...
Shiki,I told you! We can't leave!
Neku,"Oh, please."
Neku,Durff! You gotta be kidding me!
Shiki,"Next time, try listening."
Neku,"So this is all part of that ""Reapers' Game""?"
Shiki,That's right.
Neku,(This is nuts. She's actually telling the truth? Then that
Shiki,Neku! Move! We have to get to Ten-Four!
Neku,Oww! It's blocked! There's no way past!
Shiki,We can't get through!? But this is the way to Ten-Four!
Neku,...... (Why do I feel like I'm being watched? That guy over there. 
Reaper,Pact confirmed.
Shiki,What are we gonna do about this wall? [walks past Neku] Huh? Neku! 
Neku,? What's up with that?
Shiki,"No idea. A lucky break, I guess! C'mon, we gotta keep moving."
Neku,(Something about that guy in red...) ! (Huh? Where'd he go? Weird.)
Shiki,Made it!
Neku,The timer vanished!
Shiki,Whew! Mission complete.
Neku,!?
Neku,What!?
Uzuki,Only an idiot would screw up on Day 1.
Neku,Who's there!?
Shiki,"Oh, no... A Reaper?"
Neku,Reaper...
Uzuki,You two are gonna get erased sooner or later. So come on. Help a girl
Neku,Those monsters again...
Shiki,"Neku, you know how to fight now, right? This time focus your thoughts "
Neku,What? Fight your own battles!
Shiki,Please! To stop the Noise!
Neku,...Fine. Come on!
Shiki,Good! Now we can fight together! We can beat the Noise faster as a 
Neku,Is it over?
Shiki,"Not yet, Neku! Over there!"
Neku,(Whew... This one looks though. ...Like I've got a choice.) Hey! 
Shiki,I'm not a stalker!
Neku,Whatever. Just... Don't mess this up!
Shiki,I...I won't!
Shiki,Whew... We did it... But you heard her... Day 1 is nothing. What if 
Neku,(I can't believe this... Why am I stuck here? What if I'm erased!? What
Day,Reapers' Game. Chapter Closed]
Neku,Nngh... ! Where am I now?
Shiki,...I hope this works out.
Neku,Hey!
Shiki,Aaack! Don't scare me like that!
Neku,(Grow up. You're obnoxious...)
Shiki,Umm...Is something wrong?
Neku,Where are we?
Shiki,Isn't this the underpass by the station? I can hear the trains.
Neku,(That's weird. How'd we get here?)
Shiki,There's the mission!
Shiki,"""Set the cursed sculpture free. You have 60 minutes. Fail, and face"
Shiki,Oww!
Neku,Timer's back. What's it for?
Shiki,The mission. ...You really don't know? If we don't clear the mission
Neku,(Sounds crazy to me. But...maybe not that crazy. I saw it happen to 
Neku,Why'd the date change on my phone?
Shiki,A day must have gone by.
Neku,What!?
Shiki,I think we fell asleep after the mission. But that's OK. We need to
Neku,(Have you lost your MIND? It's anything but OK! We were in the middle 
Shiki,"So...this ""cursed sculpture""-- it's gotta be talking about the statue "
Neku,(Maybe we passed out. And then...woke up here? Everything between is a
Shiki,But then what's the curse? ...Neku?
Neku,(Did somebody drag us here? Or--)
Shiki,"C'mon, Neku, pay attention!"
Neku,......
Shiki,"Hey! What, now you're ignoring me? If we don't work together, we'll "
Neku,......
Shiki,You don't have to be like this. Sigh... What am I doing wrong? ......
Shiki,"The ""cursed sculpture"" must be Hachiko. It's the most famous"
Neku,......
Reaper,......
Neku,Where have I seen this guy before...
Shiki,Neku! Hachiko is this way!
Neku,(......)
Shiki,Come ON!
Neku,(Ugh... Go yourself.)
Neku,Oww!
Shiki,What? Another wall!?
Neku,(So now we're trapped in here.)
Shiki,No... We'll never finish the mission now.
Neku,(All she ever does is whine...) ...Why not?
Shiki,Because this is the way to Hachiko.
Neku,(Then we have to get through. We got past the wall yesterday. Is there
Shiki,What should we do?
Neku,......
Shiki,Don't just stand there. Think of something!
Neku,(I AM thinking. Maybe if for just one minute you could stop your bi--
Shiki,"Neku, what is it?"
Reaper,......
Neku,(That guy in the red hoodie. I've seen him before.)
Shiki,Neku. What are you looking at? That guy... You know him?
Neku,"(I remember... He was at the crossing yesterday, by the wall. Who is "
Neku,Something about that guy in red... I'm gonna scan him and see
Neku,[tries to scan the Reaper] ? Hmph.
Shiki,What is it?
Neku,I can't read him.
Shiki,What!? You can't scan him?
Neku,(I had no trouble scanning people yesterday. Maybe the rules changed?)
NekU,(Or maybe the pin is broken.)
Shiki,Can we finish the mission without being able to scan?
Neku,(Hmm... What if it's just him? Maybe he's special.)
Shiki,Neku!
Neku,(Ugh...) What now!?
Shiki,That guy is coming right towards us!
Reaper,You. Scan and erase all the Noise in this area.
Shiki,Huh? What are you talking about?
Neku,(Are those the conditions to move on?)
Shiki,I don't see any Noise!
Reaper,The world is more than just what you see. [he walks off]
Shiki,He left. What a creepy guy.
Neku,"(I don't know what his deal is... But he's part of the Game, that's for"
Neku,"(""The world is more than just what you see."" So to find the Noise...)"
Shiki,How? They're not here!
Neku,Yes they are. We have to scan for them.
Shiki,You think? All right! Let's try it. But first... I meant to ask you.
Shiki,"Shouldn't you try some other pins? You've got more, right?"
Neku,Pins?
Shiki,Yeah! They should've given you a whole bunch.
Neku,(You're right... In my pocket.)
Shiki,Why not test them out?
Neku,How?
Shiki,Remember the flame pin yesterday?
Neku,This one?
Shiki,"Well, I wasn't able to use it. So maybe--"
Neku,I get it. Certain pins only work for certain people. I've got to try 
Neku,(We need to defeat some Noise to proceed. I can see 'em with 
Shiki,"Hey, why don't you try those new pins out? If anybody can "
Shiki,You were right. We have to scan to see the Noise.
Neku,(That takes care of them all.)
Reaper,Objective met.
Shiki,But what about the wall? It's still-- Huh!? It's gone! Why?
Neku,Because we took out the Noise.
Shiki,So that's the trick to getting past the walls. But...that's odd.
Neku,What's odd?
Shiki,I heard you can only beat the Noise in pairs. But I fought them alone.
Neku,"Hmm, me too..."
Shiki,I couldn't see you while I was fighting.
Shiki,!?
Shiki,Huh?
Reaper,The Noise exist simultaneously in two zones. And the only way to 
Shiki,"Wait, but-- What is with that guy?"
Neku,(He knows too much... He must be one of them.)
Shiki,"Well, anyway...You did great."
Neku,What?
Shiki,You were able to use all the pins!
Neku,So?
Shiki,You're like some sort of psych genius!
Neku,(Come on. Using a couple of pins doesn't make anyone a genius. Don't be
Shiki,Huh? Neku. You have two Player Pins.
Neku,So?
Shiki,So why two? You only need one.
Neku,"(How should I know? Why do I have any of them? I need them for psychs, "
Shiki,"Well, umm... Two is better than one! So, like, don't feel bad!"
Neku,(You're the one who said I only need one...)
Shiki,Think how lucky I am! My partner's a psych whiz. A genius! You're a
Neku,(If you're going to flatter someone... you could try to sound a little
Shiki,"Neku, you listening?"
Neku,......
Shiki,Stop that. I'm just trying to be nice.
Neku,I'm listening.
Shiki,"Well, how am I supposed to tell when you just stand there? You should"
Neku,Would you shut the hell up! I just met you. I don't like you. And I 
Shiki,You don't have to yell... What am I going to do? ......
Neku,(Now she's playing with her phone? Forget this.)
Shiki,Hey! Wait up!
Shiki,Where are you going? I'm your partner!
Shiki,! Wha-- Who's there!?
Beat,"You got us good yesterday, but today I'ma crush you, yo!"
Shiki,"Um... What? You've got the wrong person. Neku, you know this guy?"
Neku,Don't insult me.
Beat,Need a hint? Go ask your friends.
Shiki,"""Friends""? What are you talking about?"
Beat,"Shut up, yo! You ain't foolin' me! I can't scan you. You gotta be "
Shiki,Wait! Just--
Beat,What?
Rhyme,See? They've got Player Pins. Players must not be able to scan each
Beat,"...... Oh. Yo, sorry I jumped to conclusions..."
Shiki,No worries. You just gave us a start.
Beat,Yesterday this pink-haired chick cornered us before we could get to 
Shiki,So that's why you were out for payback.
Beat,"Yup. ...Hey, hold up. We should do introductions. The name's Beat. And"
Rhyme,Hello!
Shiki,Hi! I'm Shiki. That over there's Neku. He's my partner.
Neku,......
Beat,Wha's with the phones? He still mad?
Shiki,No...he's just Neku. Don't feel bad.
Beat,"...Hey, I know! Lemme give you a tip to make up for jumpin' yas. You"
Shiki,You mean our cell phones? Well...we don't get any calls... Sending
Rhyme,We played around a bit and found some things--
Beat,"Whoa, you mean you ain't usin' yours? You two gonna get owned down the"
Shiki,Umm... I guess...
Beat,"It's cool! You two got questions, ask us. Gotta put our heads together,"
Shiki,So about the phone...
Beat,Yeah. You can use it to pick out your pins.
Shiki,Pick them out? How?
Rhyme,Well...
Rhyme,Why don't you take this pin? Then you can try it out!
Shiki,We can keep it?
Rhyme,Sure. We had extras.
Shiki,Wow! Thanks!
Shiki,So who's the girl with the pink hair?
Beat,"Heh, that cow?"
Rhyme,She attacked us in the scramble crossing. Those black wings...She's
Beat,"Yeah, we couldn't scan her."
Shiki,"So, it doesn't work on Reapers..."
Rhyme,"Or on other Players, apparently."
Shiki,Guess we found that out the hard way.
Beat,Sorry...
Shiki,"So if she's a Reaper, does that mean she gives out the missions?"
Beat,"Who knows... Yo, that reminds me-- 'sup with today's mission? It don't"
Rhyme,"Yeah, about that..."
Shiki,Do you know anything about the Reaper's Game?
Rhyme,Just that you have to stay alive for seven days.
Shiki,The Reapers send them?
Beat,"Gotta be. It's their Game, right?"
Shiki,"And if we fail the mission, they erase us."
Rhyme,...Maybe not.
Shiki,! Really!?
Rhyme,Beat and I never made it to 104. But here we are.
Beat,So like... we don't gotta play? Sweet!
Rhyme,It's too early to say. We should carry out the missions. I don't want 
Shiki,Hmm... Ours went away when we got to 104.
Rhyme,"Hey, you think you and Neku finishing the mission might've got"
Shiki,What's your take on the mission?
Beat,The cursed sculpture or whatever?
Rhyme,It's gotta be Hachiko.
Shiki,Yeah! That's just what I said! But what's the curse?
Rhyme,Hmm... You got me.
Shiki,We should probably start by heading that way.
Beat,"Can't. There's a wall, yo."
Shiki,Again? What's up with that? We keep hitting these invisible walls...
Beat,"I think we trapped in here, or somethin'. I tried breakin' the walls, "
Rhyme,But some you can get through.
Shiki,Hmm...
Rhyme,We noticed guys in red by the walls we were able to pass.
Shiki,Thanks for all the info! 'Specially about the phone! That's gonna be a
Rhyme,Heh heh. Good! Always happy to help.
Shiki,I feel ready to take on anything!
Beat,"Yeah, well-- you might not wanna say that. Rhyme's thinkin' things is"
Rhyme,They say two heads are better than one. And four has to be better than
Shiki,"Great idea! I am so in! It'll be more fun that way. Right, Neku?"
Neku,...Do what you want. I work alone.
Shiki,"What!? Neku, you can't mean that!"
Neku,Forget it. I can't take one more minute of your nagging. I don't need a
Shiki,Neku! How can you say that?
Neku,(Don't ask me. Maybe I'm just angry.)
Shiki,We're on your si--
Neku,I can't scan you. You could be Players... or you could be Reapers. I 
Shiki,But the Player Pins!
Neku,That's not enough.
Beat,"Yo, Phones! What the hell's your problem!? We just lookin' out for you,"
Rhyme,"Don't get angry, Beat... I can see where Neku's coming from. I "
Beat,"Aw, Rhyme... Rrgh... You piece a' DIRT! Screw you! We don't want your"
Shiki,"Wait, no! We're sorry! ...They left. Nice going, Neku! We should all"
Neku,Then why don't you go with them?
Shiki,"Listen to yourself... We're partners, Neku. But I don't understand "
Neku,Let yourself in. You can scan me.
Shiki,"You know that's impossible! Besides, we're right here. Let's just talk"
Neku,And say what? I'm not opening up to anyone. Ever. Other people just 
Shiki,N-Neku! Sigh... Tell me what I'm supposed to do...
Shiki,"So Neku, have you got the hang of wearing pins? You can't"
Neku,......
Neku,(That guy... Who is he talking to?)
Man,...Tell me what's ailing you. ...We're not all made of stone.
Neku,......
Shiki,Neku. Give the man some space...
Neku,......
Reaper,......
Neku,(Another guy in red. We must be headed towards a--)
Shiki,Ouch! A wall.
Neku,(I knew it.)
Shiki,"So... We just have to defeat some Noise, right?"
Neku,(She is so SLOW! Do I have to do everything?)
Shiki,Neku! Where are you--
Neku,I know what you are.
Reaper,My terms: Lift the statue's curse.
Neku,You're a Reaper.
Reaper,I don't get paid to chitchat. Play the Game.
Neku,"(Hmph. That was a waste of time. Lift the statue's curse, huh? That"
Shiki,"Please, STOP walking off without me!"
Neku,Hey.
Shiki,"Arrgh! My name is Shiki. Can you say ""Shiki""?"
Neku,"Hey, I see another statue."
Shiki,Oh yeah! The Moyai!
Neku,Like Easter Island? What's a Moai doing here?
Shiki,"""Moyai""! With a Y! Never thought about where it came from..."
Neku,Think it's cursed?
Shiki,I don't know. It looks pretty normal to me.
Neku,Let's find out.
Neku,So we need to lift the statue's curse. Which means that Moai-
Shiki,Mo-YAI.
Neku,(Whatever. Let's check it out.)
Shiki,Noise!?
Neku,"That must be the curse. Maybe if we erase all that Noise, we can lift "
Shiki,Neku!
Neku,"I know, I'll take care of it. The Noise buzzing around the "
Reaper,Objective met.
Shiki,So the Moyai was possessed by Noise... and we had to scan to find it.
Neku,(The guy in red... Yup. He's gone. But we can probably get through 
